"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Agriculture Data for All - Integrated Tools for Agriculture Data Integration, Analytics, and Sharing","J. Nabrzyski; C. Liu; C. Vardeman; S. Gesing; M. Budhatoki","Center for Res. Comput., Univ. of Notre Dame, Notre Dame, IN, USA; Center for Res. Comput., Univ. of Notre Dame, Notre Dame, IN, USA; Center for Res. Comput., Univ. of Notre Dame, Notre Dame, IN, USA; Center for Res. Comput., Univ. of Notre Dame, Notre Dame, IN, USA; Center for Res. Comput., Univ. of Notre Dame, Notre Dame, IN, USA","2014 IEEE International Congress on Big Data","","2014","","","774","775","Agriculture produces an abundance of data in both public and private domains. Such data include, but are not limited to: national soil databases, long-term data on carbon balance across different climate zones and vegetative land covers, digital elevation models, regional and national inventories, remote sensing data, geophysical data, socio-economic and many other data sets. These agriculture - related records are interesting not only to the agriculture sector. Ecology, environment, business, policy, various sciences, etc. can use this data for their discoveries. They can investigate the impact of land-management approaches, such as fertilization, grazing, irrigation, and more. Agriculture data analysis can help understand the problems and lead policy makers to implementing risk mitigation and restoration strategies.","2379-7703","978-1-4799-5057-7","10.1109/BigData.Congress.2014.117","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6906861","data semantic integration;geospatial analysis","Agriculture;Data models;Geospatial analysis;Computational modeling;Data integration;Meteorology;Semantics","agricultural engineering;data analysis;data integration;digital elevation models;land cover;remote sensing;socio-economic effects","private domains;public domains;national soil databases;long-term data;carbon balance;climate zones;vegetative land covers;digital elevation models;regional inventories;national inventories;remote sensing data;geophysical data;socioeconomic data sets;agriculture-related records;agriculture sector;land-management approach;fertilization;grazing;irrigation;agriculture data analysis;risk mitigation;restoration strategies;risk mitigation strategies","","6","6","","","","","IEEE","IEEE Conferences"
"Research and design of heterogeneous data integration based on SOA","Y. Liu; Y. Wang; Y. Jin","Institute of Computer & Information Technology, Beijing Jiaotong University, Beijing, P.R. China, 100044; Institute of Computer & Information Technology, Beijing Jiaotong University, Beijing, P.R. China, 100044; Institute of Computer & Information Technology, Beijing Jiaotong University, Beijing, P.R. China, 100044","2011 International Conference on Electronics, Communications and Control (ICECC)","","2011","","","3863","3867","Firstly, this paper introduced the SOA technology used by data integration. Then it designed a flexible solution for the data conflict, which used conflict factor and resolution factor as the basic of conflict detection and solution, and made use of XML as the standard data format for data transmission. Finally it designed a heterogeneous data integration system based SOA. The system built a central database to share common data using web services. Mean while, the upper application could effectively organize and manage the distributed data by getting access to these loose web services. Ultimately the system achieved data consistency among different applications.","","978-1-4577-0321-8","10.1109/ICECC.2011.6066687","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6066687","proceedings Data Integration;SOA;Web Service;CXF;Data Conflic","Service oriented architecture;XML;Computers;Semiconductor optical amplifiers;Educational institutions;Databases","data integration;data integrity;service-oriented architecture;Web services;XML","heterogeneous data integration;SOA technology;data conflict;resolution factor;conflict detection;XML;standard data format;data transmission;central database;Web service;data consistency","","","","","","","","IEEE","IEEE Conferences"
"Integration Materials Data between Heterogeneous Databases Based on Data Warehouse Technologies","G. Yu; J. Chen","Sch. of Mater. Sci. & Eng., China Univ. of Geosci., Wuhan, China; Sch. of Mater. Sci. & Eng., China Univ. of Geosci., Wuhan, China","2009 Third International Symposium on Intelligent Information Technology Application","","2009","2","","233","236","In materials science, effective tools are needed to organize and systematically analyze vast amounts of highly diverse materials data stored in heterogeneous databases. We have developed and deployed a data warehouse named materials data warehouse (MDW) as a tool to apply integrative approaches to the analysis of large materials data. Integration of a data warehouse enables the proper materials data to provide the required information in a direct, rapid and meaningful way. Material researchers can view data from various perspectives with reduced query time, thus producing results faster and more comprehensive. Especially, we have organized the framework of data warehouse treated materials properties combination as different subjects. To get new materials with especially properties, researchers can pick up subjects to analysis with data mining in MDW. We expect MDW will be a useful tool for supporting materials data analysis. MDW should be one of important data sources for materials data mining.","","978-0-7695-3859-4","10.1109/IITA.2009.384","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5369023","Data integration;data warhouse;materials data","Databases;Data warehouses;Materials science and technology;Data mining;Geology;Postal services;Data analysis;Crystalline materials;Data engineering;Material properties","data analysis;data mining;data warehouses;materials science computing;query processing","integration materials data;heterogeneous databases;materials science;materials data warehouse;materials data analysis;query time;materials data mining","","1","8","","","","","IEEE","IEEE Conferences"
"Optical Network Management Data Integration and Fusion in Multi-Domain Optical Networks","C. Bai; Y. Zhang; J. Yang; F. Jing","National University of Defense Technology, Xi'an, Shaanxi, 710106, China ; Xi'an Communication Institute, Xi'an, Shaanxi, 710106, China; National University of Defense Technology, Xi'an, Shaanxi, 710106, China; Xi'an Communication Institute, Xi'an, Shaanxi, 710106, China; National University of Defense Technology, Xi'an, Shaanxi, 710106, China; Xi'an Communication Institute, Xi'an, Shaanxi, 710106, China; National University of Defense Technology, Xi'an, Shaanxi, 710106, China; Xi'an Communication Institute, Xi'an, Shaanxi, 710106, China","2018 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)","","2018","","","174","178","In the optical network of different manufacturers and various equipment, according to the problem of heterogeneous and comprehensive application of network management big data, the differences of typical network management system is realized by using CORBA technology; with middleware technology, the big data integration and fusion of multi-source and multi-domain data is implemented; moreover, for the promotion of optical network maintenance and operation management capabilities, the application services of optical network big data is preliminarily explored.","","978-1-5386-4201-6","10.1109/ICITBS.2018.00052","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8332736","CORBA;Big Data;Middleware;Multi-source heterogeneous","Conferences;Transportation;Big Data;Smart cities","Big Data;computer network management;data analysis;data integration;distributed object management;middleware;optical fibre networks","optical network big data;optical network management data integration;multidomain optical networks;network management big data;typical network management system;CORBA technology;middleware technology;big data integration;optical network maintenance;operation management capabilities;multi-source data","","","9","","","","","IEEE","IEEE Conferences"
"Design of Digital Campus Platform Data Integration System Based on Xml","Y. Cheng; Z. Wu","Inf. Network Center, China Univ. of Geosci., Beijing, China; Inf. Network Center, China Univ. of Geosci., Beijing, China","2019 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)","","2019","","","253","258","In order to solve the problem that the current campus data integration system is not effective in processing local heterogeneous data, the data integration system of digital campus platform based on XML is optimized. By optimizing the hardware configuration, perfecting the data converter structure in the system, perfecting the characteristic conversion and integration process of heterogeneous data, calculating the standard parameters of heterogeneous data characteristic conversion combined with the scheduling algorithm, normalizing the heterogeneous data according to the standard parameters, and carrying out efficient data integration in the data converter after completing the normalization process combined with the optimized heterogeneous data characteristic conversion and integration process, so as to complete the design goal of the data integration system based on the XML digital campus platform. Finally, the experiment proves that compared with the traditional data integration system, the data integration rate of the XML - based digital campus platform data integration system for heterogeneous data has increased by more than 20%, and the processing effect has improved significantly compared with the traditional data integration system.","","978-1-7281-1307-4","10.1109/ICITBS.2019.00067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8669640","XML;Digital Campus Platform;Data integration system","Data integration;XML;Optimization;Feature extraction;Hardware;Standards;Distributed databases","data integration;distributed databases;educational administrative data processing;educational institutions;XML","digital campus platform data integration system;data converter structure;XML digital campus platform;heterogeneous data characteristic conversion","","","9","","","","","IEEE","IEEE Conferences"
"The Research of Multi-source Heterogeneous Data Integration Based on LINQ","Y. Wang; X. Zhang","Dept. of Inf. Eng., Shandong Water Vocational Coll., Rizhao, China; Network Center, Qufu Normal Univ., Rizhao, China","2012 International Conference on Computer Science and Electronics Engineering","","2012","1","","147","150","In allusion to the situation that software systems often need to access the heterogeneous multi-source data, this paper presents a kind of data integration technology based on LINQ. The software systems applying this technology are designed into three-layer structure, with the business logic layer decomposing the query logics and integrating the query results, and with the data access layer accessing all kinds of data sources and getting the necessary data of unified format with LINQ provider assemblies to facilitate data integration. The application of LINQ in data integration can simplify the software development process, improve the software development efficiency, as well as improve the effect of data integration. This technology achieves a more efficient integration of multi-source heterogeneous data and is conducive to expanding system functionality.","","978-0-7695-4647-6","10.1109/ICCSEE.2012.437","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6187848","Multi-source heterogeneous data;LINQ;data integration;LINQ provider","Business;Query processing;Libraries;Distributed databases;Data models","data integration;query languages;software engineering","multisource heterogeneous data integration;LINQ;software systems;data integration technology;business logic layer;query logics;data access layer;software development efficiency;language integrated query","","3","8","","","","","IEEE","IEEE Conferences"
"A Big Data Framework for Electric Power Data Quality Assessment","H. Liu; F. Huang; H. Li; W. Liu; T. Wang","Adv. Comput. & Big Data Technol. Lab. of SGCC, Global Energy Interconnection Res. Inst., Beijing, China; Adv. Comput. & Big Data Technol. Lab. of SGCC, Global Energy Interconnection Res. Inst., Beijing, China; Beijing Key Lab. on Integration & Anal. of Large-scale Stream Data, Beijing, China; Adv. Comput. & Big Data Technol. Lab. of SGCC, Global Energy Interconnection Res. Inst., Beijing, China; State Key Lab. of Adv. Power Transm. Technol., Global Energy Interconnection Res. Inst., Beijing, China","2017 14th Web Information Systems and Applications Conference (WISA)","","2017","","","289","292","Since a low-quality data may influence the effectiveness and reliability of applications, data quality is required to be guaranteed. Data quality assessment is considered as the foundation of the promotion of data quality, so it is essential to access the data quality before any other data related activities. In the electric power industry, more and more electric power data is continuously accumulated, and many electric power applications have been developed based on these data. In China, the power grid has many special characteristic, traditional big data assessment frameworks cannot be directly applied. Therefore, a big data framework for electric power data quality assessment is proposed. Based on big data techniques, the framework can accumulate both the real-time data and the history data, provide an integrated computation environment for electric power big data assessment, and support the storage of different types of data.","","978-1-5386-4806-3","10.1109/WISA.2017.29","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8332632","data quality;electric power data;data quality assessment;big data;framework","Big Data;Data integrity;Power grids;History;Real-time systems;Sensors","Big Data;data analysis;electricity supply industry;power engineering computing;power grids","big data framework;electric power data quality assessment;low-quality data;data related activities;electric power industry;electric power applications;special characteristic data assessment frameworks;big data techniques;real-time data;history data;electric power big data assessment;power grid","","1","11","","","","","IEEE","IEEE Conferences"
"Research on web data integration framework based on cloud computing","Y. Wang","College of Computer and Information Science, Chongqing Normal University, Chongqing, 400047, China","2012 2nd International Conference on Consumer Electronics, Communications and Networks (CECNet)","","2012","","","2823","2826","According to the sharing of information resources among universities, web data integration framework is proposed. The analysis of the current using situtation of the network information resource as well as the characteristics of various types of information resources of the university website, the paper presents the several ways for data integration according to the characteristics of the different resources, sets the data source selection strategy.","","978-1-4577-1415-3","10.1109/CECNet.2012.6201482","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6201482","Cloud Computing;Data Integration;Cloud Computing Architecture;Middleware Model;Data Warehouse","Educational institutions;Cloud computing;Data models;Computer architecture;Computational modeling;Data warehouses","cloud computing;data integration;educational administrative data processing;educational institutions;Internet;Web sites","Web data integration framework;cloud computing;information resource sharing;network information resource;university Website;data source selection strategy","","4","8","","","","","IEEE","IEEE Conferences"
"The integration and application of water resources data","Z. Long; X. Xu; J. Li; J. Zhu","Water Resources Administration Office of Shaanxi Province, xi'an, China; Xi'an University of Technology, xi'an, China; Xi'an University of Technology, xi'an, China; Xi'an University of Technology, xi'an, China","2013 2nd International Symposium on Instrumentation and Measurement, Sensor Network and Automation (IMSNA)","","2013","","","579","583","Water resources informatization has accumulated a large amount of data in the construction and development process, and the heterogeneous data sources has hampered the business applications of water information. To solve the ubiquitous problems of water information at present, such as the difficulty in sharing the water basic data, as well as its deficiency in expressive force and single application, a data set and data mapping mutually combined integration model of water conservancy data is built in this paper. The middleware, component modularization, SOA, data integration, information integration, and other modern means of information technology are used to achieve the visual integration of water conservancy data and information. On this basis, the informationalized service model of water conservancy theme business application based on the integrated platform is discussed. The proposed model is advanced and efficient, which also plays an important supporting role in the water resources theme business management, the field of integrated decision and the water resources informatization services.","","978-1-4799-2716-6","10.1109/IMSNA.2013.6743343","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6743343","water conservancy data;data integration;information integration;theme application","Water resources;Business;Water conservation;Data models;Distributed databases;Standards;Service-oriented architecture","business data processing;data integration;information technology;middleware;service-oriented architecture;ubiquitous computing;water resources;water supply","water resources data;water resources informatization;heterogeneous data sources;business applications;ubiquitous problems;middleware;component modularization;SOA;data integration;information integration;information technology;business management","","","11","","","","","IEEE","IEEE Conferences"
"SLA-Guided Data Integration on Cloud Environments","N. Bennani; C. G. Guegan; M. A. Musicante; G. V. Solar","LIRIS, Univ. Lyon, Lyon, France; NA; DIMAp, UFRN, Natal, Brazil; LIG-LAFMIA, St. Martin d'Hères, France","2014 IEEE 7th International Conference on Cloud Computing","","2014","","","934","935","Existing data integration techniques have to be revisited to query big data collections on the Cloud. Service Level Agreements implement the contracts between the cloud provider and the users, and between the cloud and service providers. Given SLA heterogeneity and data integration scalability problems, we propose an SLA guided data integration for querying data on multiple clouds.","2159-6190","978-1-4799-5063-8","10.1109/CLOUD.2014.130","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6973836","SLA;Cloud Computing;Data Integration","Data integration;Contracts;Quality of service;Cloud computing;Big data;Monitoring;Data models","Big Data;cloud computing;contracts;data integration;query processing","SLA-guided data integration;service level agreements;cloud provider;cloud users;service providers;SLA heterogeneity;data integration scalability problems;SLA heterogeneity big data collection querying;cloud environments","","4","5","","","","","IEEE","IEEE Conferences"
"Application of ontology in medical heterogeneous data integration","S. Ren; X. Lu; T. Wang","School of Computer Science & Software Engineering, Tianjin Polytechnic University, Tianjin, China; School of Computer Science & Software Engineering, Tianjin Polytechnic University, Tianjin, China; School of Computer Science & Software Engineering, Tianjin Polytechnic University, Tianjin, China","2018 IEEE 3rd International Conference on Big Data Analysis (ICBDA)","","2018","","","150","155","In the process of data integration, medical data is a huge obstacle to the development of medical information because of its complicated data type, large amount of data and semantic heterogeneity among different data sources. Integration of massive medical heterogeneous data is the urgent need to promote the process of medical information to be solved. According to the characteristics of medical data sources, an ontology-based medical heterogeneous data integration scheme is proposed. By introducing the medical similarity algorithm into the hybrid medical ontology, not only the multi-semantic problem is solved, but also the current heterogeneity of mass medical data is eliminated. Finally, experiments show that this method performs well in eliminating the semantic uncertainty of data in the medical field and can improve the integration efficiency of heterogeneous data in the medical data warehouse. It is practically feasible to solve the problem of medical heterogeneous data integration.","","978-1-5386-4794-3","10.1109/ICBDA.2018.8367667","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367667","Ontology;medical data warehouse;medical heterogeneous data;similarity detection algorithm","Ontologies;Semantics;Medical diagnostic imaging;Data integration;Data mining;Data warehouses","data integration;data integrity;data warehouses;medical information systems;ontologies (artificial intelligence)","medical information;semantic heterogeneity;medical data sources;medical similarity algorithm;hybrid medical ontology;mass medical data;medical field;medical data warehouse;ontology-based medical heterogeneous data integration scheme","","1","14","","","","","IEEE","IEEE Conferences"
"Enterprise application integration as a middleware: Modification in data & process layer","A. A. Al-Ghamdi; F. Saleem","Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Kingdom of Saudi Arabia; Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Kingdom of Saudi Arabia","2014 Science and Information Conference","","2014","","","698","701","Currently, enterprises are running with many applications simultaneously to accomplish their business processes more appropriately and precisely. The real challenge for the enterprises is to build strong relation between those applications in terms of technical, development and data integration. Enterprise application integration (EAI) solutions are there to facilitate enterprises as an intermediary supervisor. The main purpose of EAI is to work as a middleware for supporting and integrating all business processes; internal and external. Supply chain management, customer relationship management, billing and finance are some major applications which required to be integrated especially with respect to databases. This paper discusses about the EAI, its characteristics, distribution layers, and formation. In addition, we discussed that incorporation of data mining is much helpful and positive addition in original architecture of EAI. Although data mining implementation with EAI is just to support enterprise information and processes, but it can work with almost each application's database(s) prior or after integration. Therefore an enhanced framework presented for EAI which highlights the data mining inclusion in original EAI architecture.","","978-0-9893193-1-7","10.1109/SAI.2014.6918263","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6918263","Enterprise Application Integration;Data Mining;Information Systems","Data mining;Middleware;Business;Computer architecture;Distributed databases;Abstracts","business data processing;data integration;data mining;middleware","enterprise application integration;middleware;data layer;process layer;business process;technical integration;development integration;data integration;EAI solutions;data mining;enterprise information;enterprise process","","1","14","","","","","IEEE","IEEE Conferences"
